generation,best,mean,std,sigma,elapsed_s
1,0.0000,-0.0000,0.0000,0.105000,12.6
2,0.0006,0.0001,0.0002,0.099750,31.1
3,0.0008,0.0000,0.0003,0.094762,48.1
4,0.0008,-0.0001,0.0002,0.090024,64.3
5,0.0008,-0.0003,0.0011,0.085523,77.3
6,0.0013,0.0000,0.0003,0.081247,89.9
7,0.0013,-0.0001,0.0003,0.077185,101.6
8,0.0019,0.0001,0.0007,0.073325,114.6
9,0.0019,0.0001,0.0004,0.069659,125.7
10,0.0042,0.0000,0.0024,0.066176,137.1
11,0.0042,0.0008,0.0012,0.062867,151.1
12,0.0042,0.0003,0.0031,0.059724,163.7
13,0.0046,0.0006,0.0026,0.056738,178.9
14,0.0080,0.0014,0.0051,0.059575,190.9
15,0.0100,-0.0010,0.0103,0.056596,205.7
16,0.0100,-0.0027,0.0152,0.053766,219.6
17,0.0100,-0.0109,0.0179,0.051078,234.0
18,0.0100,0.0027,0.0030,0.048524,246.7
19,0.0122,0.0023,0.0054,0.046098,259.0
20,0.0161,0.0020,0.0110,0.043793,270.6
21,0.0161,0.0014,0.0115,0.041603,284.5
22,0.0161,0.0039,0.0047,0.039523,298.8
23,0.0188,0.0064,0.0041,0.037547,317.5
24,0.0188,0.0037,0.0114,0.035670,331.0
25,0.0188,0.0035,0.0112,0.033886,344.3
26,0.0188,0.0007,0.0097,0.032192,360.6
27,0.0188,0.0087,0.0046,0.030582,377.3
28,0.0188,0.0081,0.0060,0.029053,392.6
29,0.0188,0.0121,0.0041,0.027600,407.3
30,0.0188,0.0102,0.0042,0.026220,420.2
31,0.0188,0.0113,0.0050,0.024909,431.0
32,0.0188,0.0094,0.0059,0.023664,436.8
33,0.0188,0.0105,0.0058,0.022481,443.0
34,0.0198,0.0120,0.0056,0.021357,450.2
35,0.0198,0.0109,0.0042,0.020289,456.4
36,0.0198,0.0131,0.0039,0.019274,462.4
37,0.0198,0.0129,0.0037,0.018311,468.4
38,0.0198,0.0076,0.0060,0.017395,474.7
39,0.0198,0.0126,0.0051,0.016525,481.6
40,0.0198,0.0112,0.0061,0.015699,489.2
41,0.0198,0.0123,0.0050,0.014914,497.1
42,0.0198,0.0122,0.0042,0.014168,503.7
43,0.0288,0.0151,0.0048,0.013460,510.5
44,0.0288,0.0118,0.0056,0.012787,516.4
45,0.0288,0.0130,0.0060,0.012148,522.2
46,0.0288,0.0126,0.0053,0.011540,528.5
47,0.0288,0.0132,0.0052,0.010963,534.2
48,0.0288,0.0159,0.0022,0.010415,540.9
49,0.0288,0.0135,0.0038,0.009894,547.1
50,0.0314,0.0149,0.0058,0.009400,553.3
